               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078732,            0.026101,            0.016246,             0.58705,             0.54083,              0.5587,             0.28921,            0.040469,            0.010091,            0.003962,            0.070128,           0.0033191,           0.0033191
                   1,            0.057943,            0.021292,             0.00462,              0.7767,             0.60128,             0.68588,             0.40136,             0.03631,           0.0095866,           0.0032634,            0.040018,           0.0065427,           0.0065427
                   2,            0.055315,             0.02029,           0.0040825,             0.53555,             0.21577,             0.24928,             0.10734,            0.044183,            0.014894,           0.0048141,           0.0097987,           0.0096562,           0.0096562
                   3,            0.053329,            0.020519,           0.0038267,             0.79232,             0.60944,             0.69767,              0.4289,            0.032787,           0.0095876,            0.002128,            0.009505,            0.009505,            0.009505
                   4,            0.050361,            0.019909,           0.0036733,             0.82739,             0.69882,             0.78924,             0.50364,            0.030429,           0.0084798,           0.0015991,            0.009505,            0.009505,            0.009505
                   5,            0.048487,            0.019364,           0.0030112,             0.80921,             0.67481,             0.76976,             0.47392,            0.031104,           0.0087096,           0.0014466,             0.00934,             0.00934,             0.00934
                   6,            0.047256,            0.018863,           0.0025239,             0.82895,             0.72252,             0.81215,              0.5318,            0.028781,           0.0078055,           0.0012841,            0.009175,            0.009175,            0.009175
                   7,            0.046326,            0.018635,           0.0025343,             0.82855,             0.72129,             0.79739,             0.51885,            0.028774,           0.0079773,           0.0013423,             0.00901,             0.00901,             0.00901
                   8,            0.045499,             0.01787,           0.0024129,             0.87952,             0.70837,              0.8227,             0.53998,             0.02751,           0.0078925,           0.0011774,            0.008845,            0.008845,            0.008845
                   9,            0.045174,            0.018346,           0.0023602,             0.86458,             0.73996,             0.83424,              0.5603,            0.026231,           0.0076776,          0.00095614,             0.00868,             0.00868,             0.00868
                  10,            0.043763,            0.017941,           0.0021221,             0.88799,             0.70724,             0.82616,             0.54857,            0.027399,           0.0078061,            0.001223,            0.008515,            0.008515,            0.008515
                  11,            0.043528,            0.017721,           0.0020394,             0.86572,             0.75314,             0.84399,             0.56255,            0.026241,           0.0074717,          0.00091808,             0.00835,             0.00835,             0.00835
                  12,            0.043012,            0.017236,           0.0019066,             0.84299,             0.72292,             0.83538,             0.54232,            0.028171,           0.0079963,          0.00090864,            0.008185,            0.008185,            0.008185
                  13,            0.042288,            0.017453,           0.0018752,             0.84652,             0.75513,             0.84181,              0.5646,            0.026339,           0.0076143,           0.0010001,             0.00802,             0.00802,             0.00802
                  14,            0.041985,             0.01723,           0.0016845,             0.87008,             0.78031,             0.86501,             0.57871,            0.026052,            0.007278,          0.00075387,            0.007855,            0.007855,            0.007855
                  15,             0.04174,             0.01728,            0.001874,             0.86984,             0.78777,             0.87324,             0.59311,             0.02495,           0.0071852,          0.00073572,             0.00769,             0.00769,             0.00769
                  16,             0.04107,            0.017191,           0.0015032,             0.87237,             0.78593,             0.87554,             0.59329,            0.025573,           0.0072832,          0.00080838,            0.007525,            0.007525,            0.007525
                  17,             0.04132,            0.017238,           0.0017393,             0.89262,             0.78105,              0.8773,             0.59037,            0.024803,           0.0072096,          0.00077546,             0.00736,             0.00736,             0.00736
                  18,            0.040601,            0.016758,             0.00174,             0.87539,             0.78094,             0.87674,             0.60329,            0.024723,           0.0070248,          0.00073912,            0.007195,            0.007195,            0.007195
                  19,            0.039482,            0.016452,            0.001423,             0.88031,             0.78663,             0.87832,             0.60939,             0.02391,            0.007111,          0.00071471,             0.00703,             0.00703,             0.00703
                  20,            0.039582,            0.016702,           0.0015194,             0.88343,             0.80028,             0.88575,             0.61653,            0.023974,           0.0069737,          0.00065214,            0.006865,            0.006865,            0.006865
                  21,             0.03928,             0.01659,           0.0013663,               0.859,             0.80295,             0.87822,             0.60241,            0.024688,           0.0071103,           0.0008861,              0.0067,              0.0067,              0.0067
                  22,            0.038587,             0.01612,           0.0014785,             0.86979,             0.81362,             0.88999,             0.61763,            0.024068,           0.0069783,          0.00073326,            0.006535,            0.006535,            0.006535
                  23,            0.038848,            0.016429,           0.0016162,             0.88624,              0.8083,             0.89035,              0.6197,            0.023572,           0.0068384,          0.00065821,             0.00637,             0.00637,             0.00637
                  24,            0.037995,            0.016261,           0.0013504,             0.88209,             0.82407,             0.89364,             0.62908,            0.023608,           0.0068126,          0.00059841,            0.006205,            0.006205,            0.006205
                  25,            0.037685,            0.016197,           0.0011741,               0.887,             0.80729,             0.89105,             0.62668,             0.02359,           0.0068512,          0.00069078,             0.00604,             0.00604,             0.00604
                  26,            0.037617,             0.01596,           0.0012159,             0.89889,              0.8168,             0.89888,             0.63202,             0.02323,           0.0067558,          0.00058523,            0.005875,            0.005875,            0.005875
